"","site","provenience","group.prov","site.prov","C14.mean","C14.sd","C14.cv","uncal.date.bp","lab.num","attribution","material","calib.curve"
"1","Abauntz","D","D","Abauntz D",9530,300,0.031,"9530±300","Ly-1964","Azilian","bone","intcal13"
"2","Abauntz","E","E","Abauntz E",15800,350,0.022,"15800±350","Ly-1965","L Magdalenian","bone","intcal13"
"3","Abauntz","E 1, level 2r","E 1","Abauntz E 1",11760,90,0.008,"11760±90","OxA-5116","U Magdalenian VI","charcoal","intcal13"
"4","Abauntz","E 1, level 2r","E 1","Abauntz E 1",12220,60,0.005,"12220±60","GrA-39336","U Magdalenian VI","charcoal","intcal13"
"5","Abauntz","E 1, level 2r","E 1","Abauntz E 1",12340,60,0.005,"12340±60","CAMS-9918","U Magdalenian VI","charcoal","intcal13"
"6","Abauntz","E 2","E 2","Abauntz E 2",13500,160,0.012,"13500±160","OxA-5983","U Magdalenian IV/V","bone","intcal13"
"7","Aitzbitarte III","entrance – II(3)","entrance – II(3)","Aitzbitarte III entrance – II(3)",19765,220,0.011,"19765±220","UA-37959","Middle Solutrean?","charcoal","intcal13"
"8","Aitzbitarte III","entrance – III(4)","entrance – III(4)","Aitzbitarte III entrance – III(4)",19400,210,0.011,"19400±210","UA-37960","F Gravetian/Solutrean","bone","intcal13"
"9","Aitzbitarte III","entrance – III(5)","entrance – III(5)","Aitzbitarte III entrance – III(5)",19715,235,0.012,"19715±235","UA-18463","F Gravetian/Solutrean","bone","intcal13"
"10","Aitzbitarte III","entrance – III(6)","entrance – III(6)","Aitzbitarte III entrance – III(6)",20405,130,0.006,"20405±130","UA-11147","F Gravetian/Solutrean","bone","intcal13"
"11","Aitzbitarte III","entrance – III(7)","entrance – III(7)","Aitzbitarte III entrance – III(7)",18400,215,0.012,"18400±215","UA-11150","F Gravetian/Solutrean",NA,"intcal13"
"12","Aitzbitarte III","entrance – III(7)","entrance – III(7)","Aitzbitarte III entrance – III(7)",20290,260,0.013,"20290±260","UA-11149","F Gravetian/Solutrean","charcoal","intcal13"
"13","Aitzbitarte III","entrance – III(8)","entrance – III(8)","Aitzbitarte III entrance – III(8)",19230,200,0.01,"19230±200","UA-24964","F Gravetian/Solutrean","bone","intcal13"
"14","Aitzbitarte III","entrance – III(8)","entrance – III(8)","Aitzbitarte III entrance – III(8)",22580,295,0.013,"22580±295","UA-24963","F Gravetian/Solutrean","bone","intcal13"
"15","Aitzbitarte III","entrance – IV(10)","entrance – IV(10)","Aitzbitarte III entrance – IV(10)",27580,550,0.02,"27580±550","UA-18464","Early Gravetian","bone","intcal13"
"16","Aitzbitarte III","entrance – IV(11)","entrance – IV(11)","Aitzbitarte III entrance – IV(11)",22420,290,0.013,"22420±290","UA-24965","Early Gravetian","charcoal","intcal13"
"17","Aitzbitarte III","entrance – IV(11)","entrance – IV(11)","Aitzbitarte III entrance – IV(11)",28320,605,0.021,"28320±605","UA-18465","Early Gravetian","charcoal","intcal13"
"18","Aitzbitarte III","entrance – IV(9)","entrance – IV(9)","Aitzbitarte III entrance – IV(9)",24240,365,0.015,"24240±365","UA-11146","Early Gravetian","bone","intcal13"
"19","Aitzbitarte III","entrance – IV(9)","entrance – IV(9)","Aitzbitarte III entrance – IV(9)",25815,475,0.018,"25815±475","UA-11148","Early Gravetian",NA,"intcal13"
"20","Aitzbitarte III","entrance – IV(9)","entrance – IV(9)","Aitzbitarte III entrance – IV(9)",26260,480,0.018,"26260±480","UA-37961","Early Gravetian","bone","intcal13"
"21","Aitzbitarte III","entrance – Va(12)","entrance – Va(12)","Aitzbitarte III entrance – Va(12)",26350,475,0.018,"26350±475","UA-24967","F Aurignacian/E Gravetian","bone","intcal13"
"22","Aitzbitarte III","entrance – Va(12)","entrance – Va(12)","Aitzbitarte III entrance – Va(12)",27165,520,0.019,"27165±520","UA-24966","F Aurignacian/E Gravetian","bone","intcal13"
"23","Aitzbitarte III","entrance – Va(12)","entrance – Va(12)","Aitzbitarte III entrance – Va(12)",28530,645,0.023,"28530±645","UA-37962","F Aurignacian/E Gravetian","bone","intcal13"
"24","Aitzbitarte III","entrance – Va(13)","entrance – Va(13)","Aitzbitarte III entrance – Va(13)",28950,655,0.023,"28950±655","Ua18466","Gravetian","bone","intcal13"
"25","Aitzbitarte III","entrance – Va(14)","entrance – Va(14)","Aitzbitarte III entrance – Va(14)",31210,860,0.028,"31210±860","UA-18467","F Aurignacian/E Gravetian","charcoal","intcal13"
"26","Aitzbitarte III","entrance – Vb(17)","entrance – Vb(17)","Aitzbitarte III entrance – Vb(17)",28010,600,0.021,"28010±600","UA-21160","Evol Aurignacian",NA,"intcal13"
"27","Aitzbitarte III","entrance – Vb(17)","entrance – Vb(17)","Aitzbitarte III entrance – Vb(17)",31000,835,0.027,"31000±835","UA-18468","Evol Aurignacian",NA,"intcal13"
"28","Aitzbitarte III","entrance – Vb(17)","entrance – Vb(17)","Aitzbitarte III entrance – Vb(17)",31065,870,0.028,"31065±870","UA-21159","Evol Aurignacian",NA,"intcal13"
"29","Aitzbitarte III","entrance – Vb(17)","entrance – Vb(17)","Aitzbitarte III entrance – Vb(17)",31975,960,0.03,"31975±960","UA-37963","Evol Aurignacian",NA,"intcal13"
"30","Aitzbitarte III","entrance – Vb(17)","entrance – Vb(17)","Aitzbitarte III entrance – Vb(17)",33605,1165,0.035,"33605±1165","UA-21158","Evol Aurignacian",NA,"intcal13"
"31","Aitzbitarte III","interior – III","interior – III","Aitzbitarte III interior – III",13870,130,0.009,"13870±130","UA-3119","F Solutrean/Init Magdalenian","charcoal","intcal13"
"32","Aitzbitarte III","interior – III","interior – III","Aitzbitarte III interior – III",18270,220,0.012,"18270±220","UA-3116","F Solutrean/Init Magdalenian","charcoal","intcal13"
"33","Aitzbitarte III","interior – IV (plaquetas)","interior – IV (plaquetas)","Aitzbitarte III interior – IV (plaquetas)",16015,185,0.012,"16015±185","UA-3117","F Gravetian/E Solutrean?","charcoal","intcal13"
"34","Aitzbitarte III","interior – IV (plaquetas)","interior – IV (plaquetas)","Aitzbitarte III interior – IV (plaquetas)",22840,315,0.014,"22840±315","UA-3118","F Gravetian/E Solutrean?","charcoal","intcal13"
"35","Aitzbitarte III","interior – V","interior – V","Aitzbitarte III interior – V",23230,330,0.014,"23230±330","UA-2243","Middle Gravetian","bone","intcal13"
"36","Aitzbitarte III","interior – V","interior – V","Aitzbitarte III interior – V",24910,770,0.031,"24910±770","I-15208","Middle Gravetian","bone","intcal13"
"37","Aitzbitarte III","interior – VI","interior – VI","Aitzbitarte III interior – VI",21130,290,0.014,"21130±290","UA-1917","Early Gravetian","charcoal","intcal13"
"38","Aitzbitarte III","interior – VI","interior – VI","Aitzbitarte III interior – VI",23830,345,0.014,"23830±345","UA-2628","Early Gravetian","bone","intcal13"
"39","Aitzbitarte III","interior – VI","interior – VI","Aitzbitarte III interior – VI",24545,415,0.017,"24545±415","UA-2626","Early Gravetian","bone","intcal13"
"40","Aitzbitarte III","interior – VI","interior – VI","Aitzbitarte III interior – VI",24635,475,0.019,"24635±475","UA-2627","Early Gravetian","bone","intcal13"
"41","Aitzbitarte III","interior – VI","interior – VI","Aitzbitarte III interior – VI",24920,410,0.016,"24920±410","UA-2245","Early Gravetian","bone","intcal13"
"42","Aitzbitarte III","interior – VI","interior – VI","Aitzbitarte III interior – VI",25380,430,0.017,"25380±430","UA-2244","Early Gravetian","charcoal","intcal13"
"43","Aitzbitarte III","interior – VIII base","interior – VIII base","Aitzbitarte III interior – VIII base",17950,100,0.006,"17950±100","GrN-5993","upper Solutrean","charcoal","intcal13"
"44","Aitzbitarte III","Va(13)","Va(13)","Aitzbitarte III Va(13)",28950,655,0.023,"28950±655","UA-18466","F Aurignacian/E Gravetian","charcoal","intcal13"
"45","Aizkoltxo","15","15","Aizkoltxo 15",9980,65,0.007,"9980±65",NA,"Azilian",NA,"intcal13"
"46","Aizpea","I","I","Aizpea I",7160,70,0.01,"7160±70","GrN-16621","Mesolithic?",NA,"intcal13"
"47","Aizpea","I","I","Aizpea I",7790,70,0.009,"7790±70","GrN-16620","Mesolithic?",NA,"intcal13"
"48","Aizpea","II","II","Aizpea II",6600,50,0.008,"6600±50","GrA-779","Mesolithic?",NA,"intcal13"
"49","Aizpea","II","II","Aizpea II",6830,70,0.01,"6830±70","GrN-16622","Mesolithic?",NA,"intcal13"
"50","Aldatxarren","Bcami-Cbam","Bcami-Cbam","Aldatxarren Bcami-Cbam",27730,130,0.005,"27730±130","GrA-32898","Gravetian","charcoal?","intcal13"
"51","Allorú","conchero","conchero","Allorú conchero",8360,70,0.008,"8360±70","UBAR-781","Asturian","shell","marine13"
"52","Altamira","?","?","Altamira ?",13570,190,0.014,"13570±190","GifA-91178","Magdalenian","pig't bison 44","intcal13"
"53","Altamira","?","?","Altamira ?",15050,180,0.012,"15050±180","GifA-96062","LUP art Magdalenian","charcoal doe","intcal13"
"54","Altamira","?","?","Altamira ?",15440,200,0.013,"15440±200","GifA-91185","black tectiforms","pigm't sign 57","intcal13"
"55","Altamira","1","1","Altamira 1",14070,70,0.005,"14070±70","GrA-27777","M Magdalenian","shell","marine13"
"56","Altamira","1-2","1-2","Altamira 1-2",14910,60,0.004,"14910±60","GrA-32766","U Magdalenian","shell","marine13"
"57","Altamira","2","2","Altamira 2",15420,70,0.005,"15420±70","GrA-30329","U Magdalenian","shell","marine13"
"58","Altamira","2","2","Altamira 2",16076,2455,0.153,"16076±2455","ATM2-1",NA,"AAR date","intcal13"
"59","Altamira","2 inf.","2","Altamira 2",13900,700,0.05,"13900±700","M-828","L Magdalenian","charcoal","intcal13"
"60","Altamira","2 inf.","2","Altamira 2",14520,260,0.018,"14520±260","GifA-90047","L Magdalenian","bone scapula","intcal13"
"61","Altamira","2 inf.","2","Altamira 2",15500,700,0.045,"15500±700","M-829","L Magdalenian",NA,"intcal13"
"62","Altamira","2 inf.","2","Altamira 2",15910,230,0.014,"15910±230","I-12012","L Magdalenian",NA,"intcal13"
"63","Altamira","3","3","Altamira 3",18540,320,0.017,"18540±320","GifA-90045","upper Solutrean","bone","intcal13"
"64","Altamira","4","4","Altamira 4",15580,70,0.004,"15580±70","GrA-30326","L Magdalenian","shell","marine13"
"65","Altamira","6","6","Altamira 6",17200,90,0.005,"17200±90","GrA-32760","upper Solutrean","shell","marine13"
